หน่วย,ชื่อหน่วยเลือกตั้ง,ตำบล,latitude,longitude,ผู้มีสิทธิ์_แบ่งเขต,ผู้มาใช้สิทธิ์_แบ่งเขต,เปอร์เซ็นต์ใช้สิทธิ์_แบ่งเขต,บัตรเสีย_แบ่งเขต,ไม่เลือกผู้ใด_แบ่งเขต,ก้าวไกล_แบ่งเขต,ชาติพัฒนากล้า_แบ่งเขต,ชาติไทยพัฒนา_แบ่งเขต,ประชาชาติ_แบ่งเขต,ประชาธิปัตย์_แบ่งเขต,พลังประชารัฐ_แบ่งเขต,ภูมิใจไทย_แบ่งเขต,รวมไทยสร้างชาติ_แบ่งเขต,เพื่อไทย_แบ่งเขต,เสรีรวมไทย_แบ่งเขต,ไทยสร้างไทย_แบ่งเขต
5,"ศาลาประชาคม หมู่ที่ 8",บางพลวง,13.9970298,101.264638,455,358,78.68,15,7,59,0,0,0,0,6,222,12,33,1,2
6,"ศาลาการเปรียญวัดพิทักษ์โสภณ",บางพลวง,13.9708278,101.2872833,808,587,72.65,22,10,135,0,0,0,1,9,350,10,45,3,1
7,"โรงน้ำดื่มประชารัฐ หมู่ที่ ๑๐",บางพลวง,14.037277,101.278713,568,446,78.52,24,9,108,0,0,0,0,8,227,6,56,4,2
8,"อาคารโรงจอดรถที่ทำการผู้ใหญ่บ้าน หมู่ที่ 11",บางพลวง,14.0328521,101.241279,357,267,74.79,12,7,68,0,0,0,0,5,131,12,28,1,1
1,"ศาลาประชาคม หมู่ที่ 6",บางเดชะ,13.9642405,101.3566724,793,644,81.21,50,7,141,0,0,0,1,109,240,16,72,3,3
2,"อาคารอเนกประสงค์การเคหะแห่งชาติ บางเดชะ",บางเดชะ,14.0062012,101.3544525,720,521,72.36,13,26,184,0,0,0,4,15,154,30,87,2,4
3,"อาคารอเนกประสงค์ อบต.บางเดชะ",บางเดชะ,14.0009774,101.3119533,355,289,81.41,6,3,70,0,0,0,0,11,164,14,16,1,4
4,"อาคารโรงเรียนวัดหัวกรด",บางเดชะ,13.9821926,101.3420036,538,421,78.25,11,5,79,0,0,0,2,6,257,4,52,0,4
5,"อาคารเอนกประสงค์",บางเดชะ,13.9678568,101.3696483,189,138,73.02,4,3,23,0,0,0,1,18,62,7,18,1,0
1,"ศาลาการเปรียญวัดบ้านพระ",บ้านพระ,14.0922787,101.388965,610,478,78.36,17,9,144,0,0,0,1,18,218,13,51,2,2
2,"ศาลากลางบ้าน หมู่ที่ 4",บ้านพระ,14.1311437,101.3561527,741,574,77.46,7,28,219,0,0,0,1,33,171,48,57,5,4
3,"ศาลากลางบ้าน หมู่ที่ 5",บ้านพระ,14.1262735,101.4063399,769,606,78.80,27,14,199,0,0,0,3,35,226,43,53,1,5
